symbol,setup,tp_rr,sl_atr,max_hold,trades,net_r,pf,win_rate,folds_positive,min_fold_trades,preflight_go,preflight_reasons
XAUUSD,session_range_fade,1.5,0.8,120,285,-117.019,0.515,0.372,0,71,False,low_quality_pf_0.52<0.80
XAUUSD,session_range_fade,1.5,0.8,240,285,-117.019,0.515,0.372,0,71,False,low_quality_pf_0.52<0.80
XAUUSD,session_range_fade,1.5,1.0,120,232,-71.8,0.606,0.384,0,58,False,low_quality_pf_0.61<0.80
XAUUSD,session_range_fade,1.5,1.0,240,232,-71.8,0.606,0.384,0,58,False,low_quality_pf_0.61<0.80
XAUUSD,session_range_fade,2.0,0.8,120,249,-87.011,0.613,0.329,0,62,False,low_quality_pf_0.61<0.80
XAUUSD,session_range_fade,2.0,0.8,240,249,-87.011,0.613,0.329,0,62,False,low_quality_pf_0.61<0.80
XAUUSD,session_range_fade,2.0,1.0,120,203,-75.906,0.58,0.3,0,50,False,low_quality_pf_0.58<0.80
XAUUSD,session_range_fade,2.0,1.0,240,203,-75.906,0.58,0.3,0,50,False,low_quality_pf_0.58<0.80
XAUUSD,session_range_fade,2.5,0.8,120,225,-95.917,0.569,0.262,0,56,False,low_quality_pf_0.57<0.80
XAUUSD,session_range_fade,2.5,0.8,240,225,-95.917,0.569,0.262,0,56,False,low_quality_pf_0.57<0.80
XAUUSD,session_range_fade,2.5,1.0,120,183,-78.044,0.558,0.24,0,45,False,low_quality_pf_0.56<0.80
XAUUSD,session_range_fade,2.5,1.0,240,183,-78.044,0.558,0.24,0,45,False,low_quality_pf_0.56<0.80
XAUUSD,round_level_sweep,1.5,0.8,120,12,-5.032,0.495,0.333,1,3,False,too_few_total_12<30;thin_fold_1<5
XAUUSD,round_level_sweep,1.5,0.8,240,12,-5.032,0.495,0.333,1,3,False,too_few_total_12<30;thin_fold_1<5
XAUUSD,round_level_sweep,1.5,1.0,120,12,0.574,1.078,0.5,3,3,False,too_few_total_12<30;thin_fold_1<5
XAUUSD,round_level_sweep,1.5,1.0,240,12,0.574,1.078,0.5,3,3,False,too_few_total_12<30;thin_fold_1<5
XAUUSD,round_level_sweep,2.0,0.8,120,12,-3.032,0.696,0.333,1,3,False,too_few_total_12<30;thin_fold_1<5
XAUUSD,round_level_sweep,2.0,0.8,240,12,-3.032,0.696,0.333,1,3,False,too_few_total_12<30;thin_fold_1<5
XAUUSD,round_level_sweep,2.0,1.0,120,12,3.574,1.488,0.5,3,3,False,too_few_total_12<30;thin_fold_1<5
XAUUSD,round_level_sweep,2.0,1.0,240,12,3.574,1.488,0.5,3,3,False,too_few_total_12<30;thin_fold_1<5
XAUUSD,round_level_sweep,2.5,0.8,120,12,-1.032,0.897,0.333,1,3,False,too_few_total_12<30;thin_fold_1<5
XAUUSD,round_level_sweep,2.5,0.8,240,12,-1.032,0.897,0.333,1,3,False,too_few_total_12<30;thin_fold_1<5
XAUUSD,round_level_sweep,2.5,1.0,120,12,3.074,1.364,0.417,3,3,False,too_few_total_12<30;thin_fold_1<5
XAUUSD,round_level_sweep,2.5,1.0,240,12,3.074,1.364,0.417,3,3,False,too_few_total_12<30;thin_fold_1<5
XAUUSD,session_breakout_retest,1.5,0.8,120,0,0.0,0.0,0.0,0,0,False,no_signals
XAUUSD,session_breakout_retest,1.5,0.8,240,0,0.0,0.0,0.0,0,0,False,no_signals
XAUUSD,session_breakout_retest,1.5,1.0,120,0,0.0,0.0,0.0,0,0,False,no_signals
XAUUSD,session_breakout_retest,1.5,1.0,240,0,0.0,0.0,0.0,0,0,False,no_signals
